Sl No,city,country,name,address,date,state_code,price,bed,bath,area,pet,deposit,ac,parking,dishwasher,fireplace,storage,hardwood_floor
401,toronto,Canada,Offer Title,"University Plaza, Richmond Street West, Old Toronto, ON M5V 1V6, Canada",08/26/20,ON,224424,1,1,581,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
402,toronto,Canada,"Spectacular 2,000 Sqft Penthouse W/ Private RoofTop Terrace &2 Oversized Balcony","Harwood, Toronto, ON M6N 1K8, Canada",04/22/23,ON,969013,3,3,,,,Available,Available,Available,Available,Available,Available
403,toronto,Canada,Instant Suites Penthouse 2BR Suite In ❤️ Of Toronto Downtown,"Toronto, ON M5J 0A9, Canada",04/22/23,ON,335389,2,1,646,,,Available,Available,Available,Available,Available,Available
404,toronto,Canada,Designer Penthouse With Grand Piano & Lake Views,"Spadina, Toronto, ON M5V 0K4, Canada",08/16/23,ON,1297669,3,3,,,,Available,Available,Available,Available,Available,Available
405,toronto,Canada,Luxurious 2 Bdrm Condo - Midtown Leaside Toronto,"Thorncliffe Park, Toronto, ON M4G 0C9, Canada",08/21/23,ON,332064,2,2,,,,Available,Available,Available,Available,Available,Available
406,toronto,Canada,"Gorgeous Lake Views, Super Clean, New Condo","Etobicoke, ON M8Y 0A7, Canada",04/22/23,ON,260914,1,1,750,Allowed,,Available,Available,Available,Available,Available,Available
407,toronto,Canada,Luxury Condo In Torontoo,"Harbourview Estates, Lake Shore Boulevard West, Old Toronto, ON M5V 3A6, Canada",12/24/23,ON,167154,1,1,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
408,toronto,Canada,Feel At Home,"Toronto, Kennedy Park, ON, CA",02/26/19,ON,66496,3,1,,,9974,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
409,toronto,Canada,Rrffgxxshhaj,"Eaton Centre, Toronto, ON M5B 2R3, Canada",10-10-2023,ON,385095,1,1,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
410,toronto,Canada,Modern Condo In The Heart Of St Clair West!,"Earlscourt, Toronto, ON M6N 1J1, Canada",11/16/23,ON,149117,1,1,600,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
411,toronto,Canada,"Luxury 2 Beds With Lakeview Near CN Tower, Scotia Arena & FREE PRIVATE PARKING","Spadina, Toronto, ON M5V 0E9, Canada",04/22/23,ON,948649,2,1,,Allowed,,Available,Available,Available,Available,Available,Available
412,toronto,Canada,1 Bedroom Appt In Modern Family Hom,"Toronto, Maple Leaf, ON, CA",04/22/22,ON,91432,3,1,,,13715,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
413,toronto,Canada,"Wonderful 1-Bedroom Apartment In Toronto, Near Osgoode Subway Station","University Plaza, Richmond Street West, Old Toronto, ON M5V 1V6, Canada",08/26/20,ON,224424,1,1,506,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
414,toronto,Canada,Eat Play Work - New! Front & Spadina Luxury Condo,"Spadina, Toronto, ON M5V 0V5, Canada",02-12-2024,ON,295990,1,1,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
415,toronto,Canada,"Beautiful 2-Br, 2-Bath Easy Public Transit/Parking","Willowdale East, North York, ON M2N 4L8, Canada",07-12-2023,ON,955464,2,2,675,,,Available,Available,Available,Available,Available,Available
416,toronto,Canada,Fully Furnished Basement Apt With Extra Sofa Bed,"PICKERING, Pickering, ON L1V 4V4, Canada",04/30/23,ON,165991,1,1,700,,,Available,Available,Available,Available,Available,Available
417,toronto,Canada,Sonder The Wellesley | Superior Queen Room,"Church and Wellesley, Toronto, ON M4Y 1G7, Canada",04/22/23,ON,948649,1,1,230,,,Available,Available,Available,Available,Available,Available
418,toronto,Canada,Private Basement Apartment,"Old Toronto, Lower Riverdale, ON, CA",08/30/23,ON,124680,1,1,,,18702,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
419,toronto,Canada,LUXURY COUPLE GETAWAY WITH CN TOWER VIEW,"Toronto, ON M5J 0B1, Canada",04/25/23,ON,588822,1,1,,,,Available,Available,Available,Available,Available,Available
420,toronto,Canada,1br+balc Fully Furn $ CAD,"Plaza 100, 100 Wellesley Street East, Old Toronto, ON M4Y 1H2, Canada",02-01-2024,ON,188017,1,1,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
421,toronto,Canada,"Bright & Modern 1-Bedroom Apartment In Toronto, Near Osgoode Subway Station","Studio, Nelson Street, Old Toronto, ON M5V 1V3, Canada",08/26/20,ON,224424,1,1,635,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
422,toronto,Canada,⚡PENTHOUSE In Downtown Toronto With CN TOWER VIEWS + FREE PARKING!,"Toronto, ON M6K 3K4, Canada",04/24/23,ON,945324,1,1,,,,Available,Available,Available,Available,Available,Available
423,toronto,Canada,New Private Entrance Bright Boutique,"Caledonia-Fairbanks, York, ON M6E 2E3, Canada",04/23/23,ON,301559,Studio,,750,,,Available,Available,Available,Available,Available,Available
424,toronto,Canada,"Modern, Clean House With Fun Family","Toronto, North York, ON, CA",01/26/24,ON,60262,3,2,,,9060,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
425,toronto,Canada,City View High Floor Bay & Gerrard Pet Friendly Condo Walk To Sick Kids Hospital,"Conservatory Tower, Hayter Street, Old Toronto, ON M5G 2J9, Canada",02-11-2022,ON,853892,2,1,549,Allowed,99600,Available,Available,Available,Available,Available,Available
426,toronto,Canada,"Wonderful 2-Bedroom Apartment In Toronto, Near Osgoode Subway Station","University Plaza, Richmond Street West, Old Toronto, ON M5V 1V6, Canada",08/26/20,ON,386508,2,2,1173,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
427,toronto,Canada,Short Term -.Mar To Sept,"310 Warden Avenue, Toronto, ON M1L 1E3, Canada",02-10-2024,ON,158759,1,1,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
428,toronto,Canada,"Modern Condo (2BD+2BATH), Free Parking","Etobicoke West Mall, Etobicoke, ON M9C 0A9, Canada",04/25/23,ON,448765,2,2,,,,Available,Available,Available,Available,Available,Available
429,toronto,Canada,Spacious 3 Bedroom With Stunning City View,"Toronto, ON M5S 1Z6, Canada",05-01-2023,ON,1006251,3,2,,,,Available,Available,Available,Available,Available,Available
430,toronto,Canada,"Executive 2 Beds Suite Near CN Tower, Rogers Centre, Scotia Arena & Free Parking","Railway Lands, Toronto, ON M5V 4A9, Canada",04/25/23,ON,833943,2,1,,Allowed,,Available,Available,Available,Available,Available,Available
431,toronto,Canada,Modern Apartment In The Annex In Toronto,"Seaton Village, Toronto, ON M6G 1Z4, Canada",08-01-2023,ON,1016474,2,2,,Allowed,,Available,Available,Available,Available,Available,Available
432,toronto,Canada,Midcentury Modern Apartment With Unbelievable Views Of The Toronto Skyline,"Church and Wellesley, Toronto, ON M4Y 1H5, Canada",08/21/23,ON,588822,1,1,,,,Available,Available,Available,Available,Available,Available
433,toronto,Canada,"Spacious, Bright Basement Room","Toronto, Maple Leaf, ON, CA",02/13/24,ON,116368,1,1,,,17455,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
434,toronto,Canada,"Crescent House - Luxury Residence In Rosedale, In The Heart Of Toronto","North Midtown, Toronto, ON M4W 1T5, Canada",04/25/23,ON,1903365,4,5,3500,,,Available,Available,Available,Available,Available,Available
435,toronto,Canada,"Modern 1BR Toronto Downtown Condo, King Size Bed","Toronto, ON M5V 1C1, Canada",08/21/23,ON,416764,1,1,,Allowed,,Available,Available,Available,Available,Available,Available
436,toronto,Canada,Parkview Home 5,"Downsview, North York, ON M3M 2H1, Canada",02-05-2024,ON,302391,Studio,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
437,toronto,Canada,Wonderful 1-Bedroom Apartment In Toronto Near Osgoode Subway Station,"University Plaza, Richmond Street West, Old Toronto, ON M5V 1V6, Canada",08/26/20,ON,224424,1,1,614,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
438,toronto,Canada,Cozy Private Room In Downtown,"Beaconsfield Village, Toronto, ON M6J 3B8, Canada",10-10-2023,ON,232320,Studio,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
439,toronto,Canada,TTC Bus Stop Is At Door Step,"132 Sentinel Road, Toronto, ON M3J 1A7, Canada",02-08-2024,ON,66828,1,1,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
440,toronto,Canada,Skyline Lakeview - 2 Bed 2Bath W/Parking - Jays/CN,"Toronto, ON M5J 0A9, Canada",09/16/23,ON,1507714,2,2,,,,Available,Available,Available,Available,Available,Available
441,toronto,Canada,Bedroom With Private Washroom,"ZEN Condos, 19 Western Battery Road, Old Toronto, ON M6K 3R9, Canada",12/28/23,ON,118612,1,1,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
442,toronto,Canada,Luxury Condo In Heart Of Scarborough With Close Proximity To All Entertainment,"Scarborough City Centre, Scarborough, ON M1P 0B5, Canada",04/25/23,ON,281195,1,1,600,,,Available,Available,Available,Available,Available,Available
443,toronto,Canada,High Rise Condo With Stunning CN Tower And Lake View,"Long Branch, Toronto, ON M5V 2P1, Canada",04/30/23,ON,227001,1,1,549,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
444,toronto,Canada,"Downtown Toronto 2 Bedroom 2 Bath Suite Near Business District, U Of T, Hospital","28 Gerrard Street West, Old Toronto, ON M5G 2J9, Canada",01-05-2023,ON,1150048,3,2,753,Allowed,99600,Available,Available,Available,Available,Available,Available
445,toronto,Canada,"GLOBALSTAY. Modern Bsm In The Heart Of Toronto. HOT TUB, BBQ.","Trinity-Bellwoods, Toronto, ON M6J 2K8, Canada",06-06-2023,ON,401054,1,1,861,Allowed,,Available,Available,Available,Available,Available,Available
446,toronto,Canada,High Park In 1 Bed/1Bath On The Main Floor Of A Historic House In High Park.,"West Toronto, Toronto, ON M6R 1M9, Canada",07/21/23,ON,576022,1,1,2000,,,Available,Available,Available,Available,Available,Available
447,toronto,Canada,Liberty Village One Bedroom Condo In Downtown Toronto,"Toronto, ON M6K 0C6, Canada",04/24/23,ON,378778,1,1,,,,Available,Available,Available,Available,Available,Available
448,toronto,Canada,Fabulous 2 Bed In The Heart Of Waltham,1083 main st,01/22/24,,299315,2,1,1000,Allowed,179280,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
449,toronto,Canada,Bright Spacious 2BD Basement Apartment,"Etobicoke West Mall, Etobicoke, ON M9C 2S2, Canada",04/30/23,ON,274462,2,1,,Allowed,,Available,Available,Available,Available,Available,Available
450,toronto,Canada,"Luxury 1bedroom+Den Condo, Free Parking, Wi-Fi, Modern Gym, Near Square One Mall","Mississauga, ON L5B 0N3, Canada",01/30/24,ON,410613,1,2,,,,Available,Available,Available,Available,Available,Available
451,toronto,Canada,Downtown 2Bd Condo With Steps To CN Tower And Lake,"Railway Lands, Toronto, ON M5V 4B3, Canada",04/25/23,ON,891046,2,1,650,,,Available,Available,Available,Available,Available,Available
452,toronto,Canada,New Modern Private Bedroom In A Luxury Town Home B,"Rustic, North York, ON M6L 1C7, Canada",10/30/23,ON,120940,Studio,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
453,toronto,Canada,Bright & Spacious 1-Bedroom Apartment In Toronto Near Osgoode Subway Station,"University Plaza, Richmond Street West, Old Toronto, ON M5V 1V6, Canada",08/26/20,ON,224424,1,1,624,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
454,toronto,Canada,Luxury Penthouse Suite,"Etobicoke, ON M8V 0J1, Canada",04/25/23,ON,2361689,5,4,,Allowed,,Available,Available,Available,Available,Available,Available
455,toronto,Canada,Cozy Central Studio 7,"Grange Park, Toronto, ON M5V 0B4, Canada",08/30/23,ON,697044,Studio,1,,,,Available,Available,Available,Available,Available,Available
456,toronto,Canada,Modern & Bright 1-Bedroom Apartment In Toronto Near Osgoode Subway Station,"University Plaza, Richmond Street West, Old Toronto, ON M5V 1V6, Canada",08/26/20,ON,224424,1,1,614,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
457,toronto,Canada,Amazing 1-Bedroom Apartment In Toronto Near Osgoode Subway Station,"University Plaza, Richmond Street West, Old Toronto, ON M5V 1V6, Canada",08/26/20,ON,224424,1,1,614,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
458,toronto,Canada,"The Luxury Condo In Heart Of Toronto. Just Steps To Subway, Shops, Restaurants.","Financial District, Toronto, ON M5H 1A1, Canada",12/25/23,ON,283273,Studio,,,,,Available,Available,Available,Available,Available,Available
459,toronto,Canada,Home Life,"Toronto, Rouge Park, ON, CA",06/28/23,ON,116368,3,3,,,17455,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
460,toronto,Canada,Luxurious And Warm 3 Bedroom Apartment With All The Comforts Of Home,"L'Amoreaux, Scarborough, ON M1W 1R5, Canada",04/25/23,ON,745420,3,2,,,,Available,Available,Available,Available,Available,Available
461,toronto,Canada,Elegant Spacious 4BR House In Luxury Neighborhood,"Thornhill, Richmond Hill, ON L4C 6K6, Canada",02-12-2024,ON,550670,4,3,,Allowed,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
462,toronto,Canada,Family Of 6 Bay St. 2Bedroom 2Bath Condo FREE Parking WALK To Sick Kids Hospital,"The Village, Toronto, ON M5G 2M4, Canada",05-01-2023,ON,671610,2,2,,Allowed,,Available,Available,Available,Available,Available,Available
463,toronto,Canada,Scarborough Home Within Home,"Toronto, Agincourt Centre, ON, CA",02-03-2023,ON,124680,1,1,,,18702,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
464,toronto,Canada,1200+sqft Luxury Corner Suite,"Toronto, ON M5V 4B2, Canada",09/16/23,ON,518835,2,2,,,,Available,Available,Available,Available,Available,Available
465,toronto,Canada,Homestay Toronto,"Toronto, Agincourt North, ON, CA",10/24/22,ON,108056,1,1,,,16208,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
466,toronto,Canada,"Sunny & Bright 1-Bedroom Apartment With Den In Toronto, Near Osgoode Subway Station","University Plaza, Richmond Street West, Old Toronto, ON M5V 1V6, Canada",08/26/20,ON,245204,2,1,646,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
467,toronto,Canada,Nice & Comfy Studio Apartment In Toronto Near Osgoode Subway Station,"University Plaza, Richmond Street West, Old Toronto, ON M5V 1V6, Canada",08/26/20,ON,211956,Studio,1,463,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
468,toronto,Canada,Beautiful Luxury Condo For Families Or 5 People,"Willowdale East, North York, ON M2N 7E3, Canada",04/25/23,ON,531552,2,1,,,,Available,Available,Available,Available,Available,Available
469,toronto,Canada,Nice & Modern 1-Bedroom Apartment In Toronto Near Osgoode Subway Station,"University Plaza, Richmond Street West, Old Toronto, ON M5V 1V6, Canada",08/26/20,ON,224424,1,1,614,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
470,toronto,Canada,Lovely Apartment On Danforth Village,"Danforth Village, Toronto, ON M4C 4X2, Canada",04/25/23,ON,603119,2,1,,Allowed,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
471,toronto,Canada,Fantastic 1-Bedroom Apartment In Toronto Near Osgoode Metro Station,"University Plaza, Richmond Street West, Old Toronto, ON M5V 1V6, Canada",08/26/20,ON,224424,1,1,624,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
472,toronto,Canada,"Modern & Comfortable 2-Bedroom Apartment In Toronto, Near Osgoode Subway Station","University Plaza, Richmond Street West, Old Toronto, ON M5V 1V6, Canada",08/26/20,ON,386508,2,2,1173,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
473,toronto,Canada,Luxurious 1DB Condo Minutes Away From The CN Tower,"Toronto, ON M5A 0E7, Canada",04/24/23,ON,626808,1,1,,,,Available,Available,Available,Available,Available,Available
474,toronto,Canada,Distillery District Charm,"Trefann Court, Toronto, ON M5A 1T6, Canada",09/26/23,ON,447269,2,2,1098,Allowed,,Available,Available,Available,Available,Available,Available
475,toronto,Canada,Stylish Suite With A Hint Of Character,"Junction Area, Toronto, ON M6P 1L4, Canada",04/25/23,ON,301559,1,1,,,,Available,Available,Available,Available,Available,Available
476,toronto,Canada,Amazing Studio Apartment In Toronto Near Osgoode Metro Station,"University Plaza, Richmond Street West, Old Toronto, ON M5V 1V6, Canada",08/26/20,ON,211956,Studio,1,377,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
477,toronto,Canada,Furnished Private Male Room Rent,"80 Exford Drive, Toronto, ON M1P 1M2, Canada",02-12-2024,ON,66828,1,1,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
478,toronto,Canada,Reliable Host,"Toronto, Etobicoke, ON, CA",02-04-2024,ON,74808,2,1,,,11221,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
479,toronto,Canada,Cozy Room Near York University,"Toronto, North York, ON, CA",12/15/23,ON,91432,3,1,,,13715,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
480,toronto,Canada,Modern House In Toronto Beach Neighborhood,"The Beaches, Toronto, ON M4E 3E9, Canada",04/22/23,ON,1348456,4,3,2000,,,Available,Available,Available,Available,Available,Available
481,toronto,Canada,Private Room Rent For Two Person,"20 Anticosti Drive, Toronto, ON M1P 2T8, Canada",02-01-2024,ON,117033,1,1,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
482,toronto,Canada,Best Staying Place In Town,"Markland Wood, Mississauga, ON L4X 1L5, Canada",10-11-2023,ON,1467317,3,3,,,,Available,Available,Available,Available,Available,Available
483,toronto,Canada,Friendly Home In Toronto,"Toronto, North York, ON, CA",02/26/19,ON,124264,1,1,,,13715,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
484,toronto,Canada,University Plaza 1 Bedroom Apartment,"Toronto, ON M5H 4E9, Canada",04/25/23,ON,552249,1,1,550,,,Available,Available,Available,Available,Available,Available
485,toronto,Canada,Cosy Guest House,"West Bend, Toronto, ON M6P 2G7, Canada",04/25/23,ON,254098,1,1,,,,Available,Available,Available,Available,Available,Available
486,toronto,Canada,Rare Waterfront 4-Bedroom On The Lake,"Long Branch, Etobicoke, ON M8W 1C3, Canada",04/25/23,ON,1016474,4,3,2200,,,Available,Available,Available,Available,Available,Available
487,toronto,Canada,432 Main ST APT 4,430 Main St,02-12-2024,,242794,2,1,1093,,99600,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
488,toronto,Canada,Elegant 2 BD Waterfront Condo Downtown Toronto,"M5V Condominiums, 373 Lane South King West Blue Jays Way, Old Toronto, ON M5V 1K1, Canada",04/30/23,ON,738604,2,2,1200,Allowed,,Available,Available,Available,Available,Available,Available
489,toronto,Canada,Fav Homestay-Toronto Since 2004,"Old Toronto, Eglinton—Lawrence, ON, CA",02/26/19,ON,99744,2,1,,,14962,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
490,toronto,Canada,2 Bed Apartment Rental In Toronto (North York),"Willowdale West, North York, ON M2R 1H1, Canada",01/30/24,ON,318266,2,1,850,,,Available,Available,Available,Available,Available,Available
491,toronto,Canada,Sonder The Wellesley | Queen Room,"Church and Wellesley, Toronto, ON M4Y 1G7, Canada",04/22/23,ON,911411,1,1,140,,,Available,Available,Available,Available,Available,Available
492,toronto,Canada,1BR/1BA Victorian Home | Fast WIFI | Cabbagetown,"Cabbagetown South, Toronto, ON M5A 2E7, Canada",04/30/23,ON,220268,1,1,495,,,Available,Available,Available,Available,Available,Available
493,toronto,Canada,Brand New Modern Home In A Desired Edenbridge-1 Min From St. Georges Golf Course,"Edenbridge-Humber Valley, Etobicoke, ON M9A 4A6, Canada",04/24/23,ON,2361689,5,5,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
494,toronto,Canada,Fully Furnished Basement Suit,"Elia, North York, ON M3N 2N6, Canada",08-09-2023,ON,182947,1,1,400,,,Available,Available,Available,Available,Available,Available
495,toronto,Canada,GLOBALSTAY. Modern North York Condos,2 Anndale Drive,04/25/23,,413356,Studio,,,,,Available,Available,Available,Available,Available,Available
496,toronto,Canada,Airstay Premium Apartment,"Flat 18, 20 Regent Street",08-06-2023,,752153,Studio,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
497,toronto,Canada,Wonderful 1-Bedroom Apartment In Toronto Near Osgoode Subway Station,"Studio 2, 199 Richmond Street West, Old Toronto, ON M5V 1V6, Canada",08/26/20,ON,224424,1,1,495,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
498,toronto,Canada,Brigth & Modern 1-Bedroom Apartment In Toronto Near Osgoode Subway Station,"University Plaza, Richmond Street West, Old Toronto, ON M5V 1V6, Canada",08/26/20,ON,224424,1,1,581,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
499,toronto,Canada,"Bath, Apartment Sublet","11 Cottingham Road, Old Toronto, ON M4V 1A4, Canada",01/18/24,ON,312614,1,1,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
500,toronto,Canada,Modern 1-Bedroom Apartment In Toronto Near Osgoode Subway Station,"University Plaza, Richmond Street West, Old Toronto, ON M5V 1V6, Canada",08/26/20,ON,224424,1,1,614,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
501,toronto,Canada,Stylish 2 BR 2 Bath Downtown,"Toronto, ON M5J 0B1, Canada",12/25/23,ON,353260,Studio,,,,,Available,Available,Available,Available,Available,Available
502,toronto,Canada,"You Found It! 3 Restful Units, On-Site Bar, Minutes From Yonge-Dundas Square","Riverside, Toronto, ON M4M 2G1, Canada",02/16/24,ON,4902667,3,3,975,Allowed,,Available,Available,Available,Available,Available,Available
503,toronto,Canada,Elegant Downtown Oasis With City And Lake Views Plus Parking!,"Trinity Niagara, Toronto, ON M5V 4A2, Canada",04/23/23,ON,379443,1,1,,Allowed,,Available,Available,Available,Available,Available,Available
504,toronto,Canada,"Modern Home W/ Patio, Fireplace, Parking - 20mins To Downtown & Beach","Woodbine-Lumsden, East York, ON M4C 1W2, Canada",08-01-2023,ON,2439489,4,3,2000,Allowed,,Available,Available,Available,Available,Available,Available
505,toronto,Canada,Hullmark -Prime Location-NorthYork,"Willowdale East, North York, ON M2N 0G5, Canada",04/24/23,ON,487000,2,2,850,Allowed,,Available,Available,Available,Available,Available,Available
506,toronto,Canada,Modern Private Suite In Vaughan,"WOODBRIDGE, Woodbridge, ON L4L 1A6, Canada",01/16/24,ON,245121,1,1,,Allowed,,Available,Available,Available,Available,Available,Available
507,toronto,Canada,Luxury & Beautiful 4 Bedroom Bungalow Villa/Full Entertainment Floor (Sleep 8),"Richvale, Richmond Hill, ON L4C 6Y1, Canada",04/25/23,ON,1635968,4,3,2800,Allowed,,Available,Available,Available,Available,Available,Available
508,toronto,Canada,"Downtown Toronto Near CN Tower, MTCC, Rogers Center , Union Station","Toronto, ON M5J 0B1, Canada",04/30/23,ON,904678,1,1,600,,,Available,Available,Available,Available,Available,Available
509,toronto,Canada,Short Term Rental,"First Canadian Place, 100 King Street West, Old Toronto, ON M5X 1C7, Canada",02/14/24,ON,150447,1,1,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
510,toronto,Canada,Modern Beautiful Home W/ Private Patio And Balcony,"Mississauga, ON L5E 2M6, Canada",04/22/23,ON,752153,3,5,,Allowed,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
511,toronto,Canada,Quaint Quiet Room,"Old Toronto, Roncesvalles, ON, CA",12/23/23,ON,70652,1,1,,,10639,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
512,toronto,Canada,Looking To Homestay,"Toronto, Parkway West, ON, CA",09/22/23,ON,91432,1,1,,,13715,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
513,toronto,Canada,Home Away From Home,"Toronto, Wexford Heights, ON, CA",02/26/19,ON,112212,2,1,,,16873,Available,Available,Available,Available,Available,Available
514,toronto,Canada,5★ OASIS ON A RAVINE WITH A YOGA ROOM,"Bayview Village, North York, ON M2K 1Z4, Canada",04/25/23,ON,1177644,4,2,2999,,,Available,Available,Available,Available,Available,Available
515,toronto,Canada,Suite In Cabbagetown,"Old Toronto, Cabbagetown, ON, CA",10-08-2022,ON,162666,1,1,,,24437,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
516,toronto,Canada,"Spacious And Cozy 3-Bed, 2-Bath Residence In Toronto, ON","Riverside, Toronto, ON M4M 2R1, Canada",01/30/24,ON,576105,Studio,,,,,Available,Available,Available,Available,Available,Available
517,toronto,Canada,1 Bedroom Hidden Gem In Liberty Village,"Beaconsfield, Toronto, ON M6K 1X2, Canada",04/25/23,ON,531552,1,1,,,,Available,Available,Available,Available,Available,Available
518,toronto,Canada,Room In Bath-Sq Ft Condo,"First Canadian Place, 100 King Street West, Old Toronto, ON M5X 1C7, Canada",12/23/23,ON,109885,1,1,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
519,toronto,Canada,One Bedroom Basement/Private Bath & Entrance,"The Pocket, Toronto, ON M4J 1K7, Canada",04/23/23,ON,213452,1,1,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
520,toronto,Canada,Luxury 1 Bed 1 Bath - Downtown Toronto - Beautiful View,"Spadina, Toronto, ON M5V 0E9, Canada",01/30/24,ON,283273,1,1,,,,Available,Available,Available,Available,Available,Available
521,toronto,Canada,Spacious Bed And Bath Near The Lake,"Humber Bay, Etobicoke, ON M8V 4C5, Canada",08-01-2023,ON,235562,1,1,,,,Available,Available,Available,Available,Available,Available
522,toronto,Canada,Enter Luxurious House.,"Pomona Valley, Thornhill, ON L3T 1V9, Canada",08-01-2023,ON,752153,3,1,,,,Available,Available,Available,Available,Available,Available
523,toronto,Canada,Tenorio- De Rio Celeste Dreams,Main Street,12/25/23,,140057,Studio,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
524,toronto,Canada,"Midtown Toronto Amazing Central Location , Cozy Whole House","Oakwood Village, York, ON M6E 2W1, Canada",01-01-2024,ON,401054,3,2,1100,Allowed,,Available,Available,Available,Available,Available,Available
525,toronto,Canada,Funky Liberty Village Apt - Mins To Downtown!,"South Parkdale, Toronto, ON M6K 2E2, Canada",11-12-2023,ON,200485,1,1,,Allowed,,Available,Available,Available,Available,Available,Available
526,toronto,Canada,Full House Rental - 4 Beds Cozy House In Toronto,"Brookhaven-Amesbury, North York, ON M6M 5K7, Canada",04/24/23,ON,664046,3,3,,,,Available,Available,Available,Available,Available,Available
527,toronto,Canada,Co Living,"Pembroke Mews, 200 Sherbourne Street, Old Toronto, ON M5A 1Z9, Canada",02-12-2024,ON,66828,1,1,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
528,toronto,Canada,2 Bedroom For Rent.,"Old Toronto, York South—Weston, ON, CA",12-09-2022,ON,66496,2,1,,,9974,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
