Sl No,city,country,name,address,date,state_code,price,bed,bath,area,pet,deposit,ac,parking,dishwasher,fireplace,storage,hardwood_floor
32,orlando,US,Vue De Reves By Lake Eola. Free Parking,"Orlando, FL",04/30/23,FL,581009,1,1,720,,,Available,Available,Available,Available,Available,Available
33,orlando,US,"Flat For Rent In Orlando, Florida","2275 Carlton Drive, Conway, FL 32806, USA",01/14/24,FL,112212,2,1,500,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
34,orlando,US,The Epic Dublin Vista Cay Orlando,"Orlando, FL",09/20/23,FL,466303,3,2,1250,,,Available,Available,Available,Available,Available,Available
35,orlando,US,"Central Elegance-Spacious, Beautifully Decor Condo","Orlando, FL",09/19/23,FL,596469,3,2,1247,,,Available,Available,Available,Available,Available,Available
36,orlando,US,"Just 3 Blocks To Park Ave Shops/ Restaurants, 2 From The Winter Park Village!","Winter Park, FL",04/24/23,FL,486252,3,3,1950,,,Available,Available,Available,Available,Available,Available
37,orlando,US,The Epic London Vista Cay Orlando Next To The Club,"Orlando, FL",09/20/23,FL,506201,3,2,100,,,Available,Available,Available,Available,Available,Available
38,orlando,US,"Flat For Rent In Orlando, Florida","Peregrine Avenue, Orlando, FL 32819, USA",01/14/24,FL,112212,1,1,591,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
39,orlando,US,"$1,350 - 1 Bedroom 1 Bathroom Apartment In Orlando With Great Amenities","4540 Commander Dr, Unit 2234",01/28/24,,103900,1,1,735,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
40,orlando,US,"Flat For Rent In Orlando, Florida","Orlando Regional Medical Center – Lucerne Pavilion, Main Lane, Orlando, FL 32801, USA",01/14/24,FL,112212,1,1,675,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
41,orlando,US,"Flat For Rent In Orlando, Florida","3740 Lawson Drive, Orlando, FL 32806, USA",01/14/24,FL,112212,1,1,300,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
42,orlando,US,Spacious Condo With Balcony! Close To Attractions,"Orlando, FL",04/22/23,FL,346610,3,2,2001,,,Available,Available,Available,Available,Available,Available
43,orlando,US,Park Central Apartments,"2306 Mid Town Terrace, Orlando, FL 32839, USA",01/18/24,FL,121937,1,1,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
44,orlando,US,"Property For Rent In Orlando, Florida","6588 Stardust Lane, Orange County, FL 32818, USA",02-11-2024,FL,149200,Studio,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
45,orlando,US,"Flat For Rent In Orlando, Florida","3740 Lawson Drive, Orlando, FL 32806, USA",01/14/24,FL,112212,1,1,1008,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
46,orlando,US,Sublease At Infinity Off Bald,"Bennett Road, Orlando, FL 32813, USA",02-12-2024,FL,222180,1,1,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
47,orlando,US,Modern Apartment In Prime Location (ID1326X971),"Orlando, FL, 32896",12/25/23,FL,256841,1,1,635,,,Available,Available,Available,Available,Available,Available
48,orlando,US,Orlando Blue Heron Condo 1 Mile From Disney Floor 6,"Orlando, FL",11/27/23,FL,296738,Studio,,,,,Available,Available,Available,Available,Available,Available
49,orlando,US,"Updated Apartment With Community Pool & Gym - Balcony, W/D, And Great Location","Orlando, FL",01-08-2024,FL,379027,2,2,1013,,,Available,Available,Available,Available,Available,Available
50,orlando,US,Cozy 1 Bed/1 Bath-Super Close To Downtown Orlando & Hospitals,"Orlando, FL",04/24/23,FL,231905,1,1,720,Allowed,,Available,Available,Available,Available,Available,Available
51,orlando,US,"Property For Rent In Orlando, Florida","2105 Fraternity Court, Alafaya, FL 32826, USA",02-11-2024,FL,149200,Studio,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
52,orlando,US,Romantic Getaway Studio- UCF Area,"Orlando, FL",04/24/23,FL,117199,1,1,,,,Available,Available,Available,Available,Available,Available
53,orlando,US,"Flat For Rent In Orlando, Florida","4254 Thornbriar Lane, Orlando, FL 32822, USA",01/14/24,FL,112212,2,2,1000,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
